sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
UNC Lineberger Comprehensive Cancer Center,48,30,10,133.0,Hospital and Health System,62.5,20.8
Centre Hospitalier Universitaire de Saint Etienne,47,25,16,225.0,Academic,53.2,34.0
The University of Texas Health Science Center at San Antonio,47,33,3,48.0,Academic,70.2,6.4
Montefiore Medical Center,47,25,13,87.0,Hospital and Health System,53.2,27.7
Vertex Pharmaceuticals Incorporated,47,39,2,170.0,Large Pharma,83.0,4.3
Arizona State University,46,42,2,110.0,Academic,91.3,4.3
"Rutgers, The State University of New Jersey",46,33,3,157.0,Academic,71.7,6.5
"University Hospital, Lille",45,29,10,259.0,Academic,64.4,22.2
Children's Hospital of Philadelphia,45,37,5,5787.0,Hospital and Health System,82.2,11.1
Henry Ford Health System,44,30,3,57.0,Hospital and Health System,68.2,6.8
New York State Psychiatric Institute,43,32,7,183.0,Academic,74.4,16.3
Baylor College of Medicine,43,27,4,222.0,Academic,62.8,9.3
Saglik Bilimleri Universitesi,43,39,0,79.0,Academic,90.7,0.0
Damascus University,43,42,1,42.0,Academic,97.7,2.3
"University College, London",43,28,5,145.0,Academic,65.1,11.6
Dokuz Eylul University,42,42,0,59.0,Academic,100.0,0.0
Innovent Biologics (Suzhou) Co. Ltd.,42,35,3,200.0,Biotech,83.3,7.1
Fred Hutchinson Cancer Center,42,22,10,98.0,Hospital and Health System,52.4,23.8
University of Texas at Austin,42,39,2,165.0,Academic,92.9,4.8
Ankara City Hospital Bilkent,42,42,0,78.0,Hospital and Health System,100.0,0.0
TC Erciyes University,41,41,0,75.0,Academic,100.0,0.0
"Alexion Pharmaceuticals, Inc.",41,27,10,126.0,Large Pharma,65.9,24.4
University Ghent,41,37,3,304.0,Academic,90.2,7.3
University of Copenhagen,41,41,0,92.0,Academic,100.0,0.0
Boston Children's Hospital,41,28,6,639.0,Hospital and Health System,68.3,14.6
Kaiser Permanente,41,34,1,94801.0,Other,82.9,2.4
Boston Medical Center,41,23,6,116.0,Hospital and Health System,56.1,14.6
Galderma R&D,41,39,1,161.0,Other,95.1,2.4
Bezmialem Vakif University,41,40,0,62.0,Academic,97.6,0.0
Medical University of Vienna,40,34,1,60.0,Academic,85.0,2.5
Thomas Jefferson University,40,29,2,72.0,Academic,72.5,5.0
"University of Massachusetts, Worcester",40,34,1,13296.0,Academic,85.0,2.5
Centre hospitalier de l'Université de Montréal (CHUM),40,30,4,129.0,Academic,75.0,10.0
"University Hospital, Clermont-Ferrand",40,32,7,189.0,Academic,80.0,17.5
"Genentech, Inc.",40,27,4,197.0,Large Pharma,67.5,10.0
Medipol University,39,36,0,61.0,Academic,92.3,0.0
Akdeniz University,39,39,0,197.0,Academic,100.0,0.0
Centre Hospitalier Universitaire de Nīmes,39,34,4,102.0,Academic,87.2,10.3
Ottawa Hospital Research Institute,39,27,3,216.0,Academic,69.2,7.7
University of New Mexico,39,29,4,85.0,Academic,74.4,10.3
Florida State University,39,36,2,95.0,Academic,92.3,5.1
Allergan,38,34,2,284.0,Large Pharma,89.5,5.3
Assistance Publique Hopitaux De Marseille,38,31,5,99.0,Government and Public Health,81.6,13.2
University Hospitals Cleveland Medical Center,38,25,4,69.0,Academic,65.8,10.5
"Sanofi Pasteur, a Sanofi Company",38,31,3,1790.0,Large Pharma,81.6,7.9
State University of New York at Buffalo,38,27,6,39.0,Academic,71.1,15.8
Sunnybrook Health Sciences Centre,38,23,2,93.0,Biotech,60.5,5.3
Brown University,37,28,2,5628.0,Academic,75.7,5.4
Cedars-Sinai Medical Center,37,23,7,240.0,Hospital and Health System,62.2,18.9
"Centre Hospitalier Universitaire, Amiens",37,24,2,79.0,Academic,64.9,5.4
"Johnson & Johnson Vision Care, Inc.",37,35,0,107.0,Large Pharma,94.6,0.0
KU Leuven,37,34,2,192.0,Other,91.9,5.4
The Hospital for Sick Children,37,30,2,73.0,Hospital and Health System,81.1,5.4
University Hospital Tuebingen,37,34,1,126.0,Academic,91.9,2.7
Johns Hopkins Bloomberg School of Public Health,37,34,2,1670.0,Academic,91.9,5.4
Abramson Cancer Center at Penn Medicine,36,19,8,389.0,Hospital and Health System,52.8,22.2
"Fuda Cancer Hospital, Guangzhou",36,28,0,34.0,Hospital and Health System,77.8,0.0
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,36,32,1,186.0,Hospital and Health System,88.9,2.8
H. Lundbeck A/S,36,25,8,203.0,Large Pharma,69.4,22.2
Rennes University Hospital,36,30,3,114.0,Academic,83.3,8.3
Poitiers University Hospital,36,34,1,276.0,Academic,94.4,2.8
Loma Linda University,35,25,2,27.0,Academic,71.4,5.7
Société des Produits Nestlé (SPN),35,33,2,97.0,Other,94.3,5.7
"Astellas Pharma Global Development, Inc.",35,19,9,164.0,Large Pharma,54.3,25.7
Ondokuz Mayıs University,34,34,0,76.0,Academic,100.0,0.0
Norwegian University of Science and Technology,34,27,1,108.0,Academic,79.4,2.9
Benha University,34,34,0,98.0,Academic,100.0,0.0
Medical University of Graz,34,27,2,104.0,Academic,79.4,5.9
Boston Scientific Corporation,34,21,1,239.0,Biotech,61.8,2.9
China Medical University Hospital,34,30,1,43.0,Academic,88.2,2.9
Selcuk University,34,34,0,102.0,Academic,100.0,0.0
University of Bern,34,29,2,295.0,Academic,85.3,5.9
University Medical Center Groningen,33,27,4,92.0,Academic,81.8,12.1
Ohio State University Comprehensive Cancer Center,33,27,1,165.0,Academic,81.8,3.0
University of Louisville,33,22,2,332.0,Academic,66.7,6.1
University of Toronto,33,30,2,588.0,Academic,90.9,6.1
Asan Medical Center,32,28,1,89.0,Hospital and Health System,87.5,3.1
